coingecko_id,ticker,price_USDT,price_BTC,price_ETH,amount,amount_usdt,amount_btc,amount_eth,dt,BTC_price_in_USDT,ETH_price_in_USDT
3xcalibur,XCAL,0.24781737867139836,8.95611102062567e-06,0.0001412883876461063,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
aleph-zero,AZERO,1.4644288456058385,5.2924405033125715e-05,0.0008349163869272161,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
alienfi,ALIEN,0.5249916973105688,1.89731807802502e-05,0.00029931407893293084,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
allianceblock-nexera,NXRA,0.07056110450658155,2.550075741608395e-06,4.0229078120799e-05,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
aptos,APT,11.66561925907109,0.0004215950542642389,0.006650932008255266,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
astar,ASTR,0.06129103809260523,2.2150558797357e-06,3.494392522302847e-05,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
aura-finance,AURA,2.883134652782267,0.00010419638112616035,0.0016437646489609865,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
benddao,BEND,0.012566616723076168,4.541570697297951e-07,7.164618657855844e-06,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
bone-shibaswap,BONE,1.1210271497423008,4.051388027770453e-05,0.0006391324100987276,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
camelot-token,GRAIL,2837.6033316194157,0.10255088084108561,1.6178058280381553,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
canto,CANTO,0.23417939442809335,8.463234767816365e-06,0.00013351294907593808,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
centrifuge,CFG,0.296289388426522,1.0707887684099198e-05,0.00016892378650709092,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
dydx,DYDX,2.3044054695132177,8.32811295646207e-05,0.0013138131595771265,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
factor,FCTR,0.44567945843647444,1.6106839361988905e-05,0.0002540957071980637,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
floki,FLOKI,3.533604148973962e-05,1.2770432497842752e-09,2.0146175198234555e-08,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
gains-network,GNS,6.9913760832435905,0.0002526680764850789,0.003986000737820906,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
gmx,GMX,69.71796147080171,0.0025196045830673934,0.03974837607835533,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
hamachi-finance,HAMI,0.0009015406169903208,3.2581644994619444e-08,5.139963179940593e-07,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
hashflow,HFT,0.623806480450882,2.254434343651082e-05,0.00035565145712789214,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
hedron,HDRN,2.6200896732378878e-06,9.468994516574492e-11,1.4937945329123104e-09,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
highstreet,HIGH,2.0915599294356353,7.55888995144129e-05,0.001192463303741947,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
hop-protocol,HOP,0.19461219133506474,7.0332774921133814e-06,0.00011095445717899652,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
immutable-x,IMX,1.0542057428656435,3.809895707195434e-05,0.0006010354497948819,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
joe,JOE,0.3765404450712628,1.3608157942327742e-05,0.0002146774074235097,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
kaspa,KAS,0.016901815650223063,6.10831000735692e-07,9.636250267493265e-06,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
kwenta,KWENTA,505.3971498649569,0.018265034550705436,0.288142618601585,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
magic,MAGIC,1.3955262118082075,5.04342663624098e-05,0.000795632854488815,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
multichain,MULTI,9.406142320330611,0.0003399376401619943,0.005362734000069948,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
nakamoto-games,NAKA,0.28201027673980644,1.019184110888418e-05,0.00016078282126062265,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
oath,OATH,0.27295509043976723,9.86458700648672e-06,0.00015562017819246196,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
okb,OKB,41.80792632966839,0.001510936931695761,0.023835997836853036,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
optimism,OP,2.1916020218708363,7.920441708379782e-05,0.0012495004091003033,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
phoenix-global,PHB,1.0626164738205255,3.8402920581698426e-05,0.0006058306688465538,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
plutusdao,PLS,0.9181593004937885,3.3182243609904833e-05,0.0005234711458273378,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
radiant-capital,RDNT,0.33984302841839065,1.228191464383379e-05,0.00019375506994476172,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
sonne-finance,SONNE,0.1791455664880598,6.47431423462602e-06,0.00010213645378199447,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
ssv-network,SSV,34.536700049355964,0.0012481550793022706,0.019690445806308913,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
stader,SD,1.0296168862559862,3.7210316691497636e-05,0.0005870165786282782,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
stargate-finance,STG,0.6429537581959203,2.3236325355400793e-05,0.00036656791510558624,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
the-open-network,TON,2.1090542291091916,7.622114286612804e-05,0.0012024373475605285,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
threshold-network-token,T,0.04142898522723555,1.4972420140840024e-06,2.361995174007559e-05,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
velodrome-finance,VELO,0.12527552361069488,4.527452851126007e-06,7.142346851286273e-05,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
vesta-finance,VSTA,0.5615916020694611,2.02959000024546e-05,0.00032018082185107703,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
winr-protocol,WINR,0.0770855556147678,2.785869166536202e-06,4.394887042226554e-05,1,1,1,1,2023-03-25,27670.199498496833,1753.982636507409
